"C:\Program Files\Python38\python.exe" A:/USU/Assignments/IntelligentSystems/hw03/commands.py
==== Training 784x10x10 ANN ======
Epoch 41: 9431 / 10000
Epoch 42: 9426 / 10000
Epoch 43: 9433 / 10000
Epoch 44: 9435 / 10000
Epoch 45: 9438 / 10000
Epoch 46: 9443 / 10000
Epoch 47: 9447 / 10000
Epoch 48: 9452 / 10000
Epoch 49: 9440 / 10000
==== Training 784x50x10 ANN DONE... ======




==== Training 784x10x10x10 ANN ======
Epoch 0: 8549 / 10000
Epoch 1: 8735 / 10000
Epoch 2: 8742 / 10000
Epoch 3: 8794 / 10000
Epoch 4: 8968 / 10000
Epoch 5: 9049 / 10000
Epoch 6: 9028 / 10000
Epoch 7: 9051 / 10000
Epoch 8: 9044 / 10000
Epoch 9: 9033 / 10000
Epoch 10: 9100 / 10000
Epoch 11: 9130 / 10000
Epoch 12: 9146 / 10000
Epoch 13: 9146 / 10000
Epoch 14: 9134 / 10000
Epoch 15: 9135 / 10000
Epoch 16: 9127 / 10000
Epoch 17: 9151 / 10000
Epoch 18: 9121 / 10000
Epoch 19: 9141 / 10000
Epoch 20: 9161 / 10000
Epoch 21: 9067 / 10000
Epoch 22: 9142 / 10000
Epoch 23: 9118 / 10000
Epoch 24: 9130 / 10000
Epoch 25: 9117 / 10000
Epoch 26: 9150 / 10000
Epoch 27: 9139 / 10000
Epoch 28: 9160 / 10000
Epoch 29: 9118 / 10000
Epoch 30: 9117 / 10000
Epoch 31: 9109 / 10000
Epoch 32: 9146 / 10000
Epoch 33: 9183 / 10000
Epoch 34: 9084 / 10000
Epoch 35: 9138 / 10000
Epoch 36: 9093 / 10000
Epoch 37: 9190 / 10000
Epoch 38: 9160 / 10000
Epoch 39: 9145 / 10000
Epoch 40: 9181 / 10000
Epoch 41: 9161 / 10000
Epoch 42: 9174 / 10000
Epoch 43: 9158 / 10000
Epoch 44: 9141 / 10000
Epoch 45: 9205 / 10000
Epoch 46: 9179 / 10000
Epoch 47: 9177 / 10000
Epoch 48: 9135 / 10000
Epoch 49: 9126 / 10000
==== Training 784x10x10x10 ANN DONE... ======
==== Training 784x10x20x10 ANN ======
Epoch 0: 8565 / 10000
Epoch 1: 8863 / 10000
Epoch 2: 8923 / 10000
Epoch 3: 9077 / 10000
Epoch 4: 9139 / 10000
Epoch 5: 9137 / 10000
Epoch 6: 9055 / 10000
Epoch 7: 9141 / 10000
Epoch 8: 9159 / 10000
Epoch 9: 9185 / 10000
Epoch 10: 9194 / 10000
Epoch 11: 9181 / 10000
Epoch 12: 9201 / 10000
Epoch 13: 9241 / 10000
Epoch 14: 9183 / 10000
Epoch 15: 9239 / 10000
Epoch 16: 9249 / 10000
Epoch 17: 9244 / 10000
Epoch 18: 9230 / 10000
