==== Training 784x10x10 ANN ======
==== Training 784x20x10 ANN ======
Epoch 0: 7463 / 10000
Epoch 1: 8343 / 10000
Epoch 2: 8645 / 10000
Epoch 3: 8778 / 10000
Epoch 4: 8865 / 10000
Epoch 5: 8927 / 10000
Epoch 6: 8966 / 10000
Epoch 7: 9005 / 10000
Epoch 8: 9035 / 10000
Epoch 9: 9084 / 10000
Epoch 10: 9090 / 10000
Epoch 11: 9122 / 10000
Epoch 12: 9140 / 10000
Epoch 13: 9158 / 10000
Epoch 14: 9169 / 10000
Epoch 15: 9185 / 10000
Epoch 16: 9188 / 10000
Epoch 17: 9203 / 10000
Epoch 18: 9209 / 10000
Epoch 19: 9225 / 10000
Epoch 20: 9217 / 10000
Epoch 21: 9215 / 10000
Epoch 22: 9238 / 10000
Epoch 23: 9226 / 10000
Epoch 24: 9239 / 10000
Epoch 25: 9244 / 10000
Epoch 26: 9255 / 10000
Epoch 27: 9261 / 10000
Epoch 28: 9270 / 10000
Epoch 29: 9272 / 10000
Epoch 30: 9284 / 10000
Epoch 31: 9274 / 10000
Epoch 32: 9267 / 10000
Epoch 33: 9283 / 10000
Epoch 34: 9275 / 10000
Epoch 35: 9285 / 10000
Epoch 36: 9289 / 10000
Epoch 37: 9299 / 10000
Epoch 38: 9289 / 10000
Epoch 39: 9295 / 10000
Epoch 40: 9297 / 10000
Epoch 41: 9294 / 10000
Epoch 42: 9293 / 10000
Epoch 43: 9293 / 10000
Epoch 44: 9304 / 10000
Epoch 45: 9307 / 10000
Epoch 46: 9312 / 10000
Epoch 47: 9313 / 10000
Epoch 48: 9319 / 10000
Epoch 49: 9313 / 10000
==== Training 784x20x10 ANN DONE... ======
==== Training 784x30x10 ANN ======
Epoch 0: 6377 / 10000
Epoch 1: 8177 / 10000
Epoch 2: 8586 / 10000
Epoch 3: 8807 / 10000
Epoch 4: 8878 / 10000
Epoch 5: 8963 / 10000
Epoch 6: 9025 / 10000
Epoch 7: 9079 / 10000
Epoch 8: 9091 / 10000
Epoch 9: 9134 / 10000
Epoch 10: 9152 / 10000
Epoch 11: 9179 / 10000
Epoch 12: 9206 / 10000
Epoch 13: 9212 / 10000
Epoch 14: 9218 / 10000
Epoch 15: 9242 / 10000
Epoch 16: 9257 / 10000
Epoch 17: 9263 / 10000
Epoch 18: 9266 / 10000
Epoch 19: 9268 / 10000
Epoch 20: 9291 / 10000
Epoch 21: 9292 / 10000
Epoch 22: 9297 / 10000
Epoch 23: 9303 / 10000
Epoch 24: 9294 / 10000
Epoch 25: 9305 / 10000
Epoch 26: 9312 / 10000
Epoch 27: 9315 / 10000
Epoch 28: 9330 / 10000
Epoch 29: 9320 / 10000
Epoch 30: 9336 / 10000
Epoch 31: 9336 / 10000
Epoch 32: 9345 / 10000
Epoch 33: 9342 / 10000
Epoch 34: 9341 / 10000
Epoch 35: 9354 / 10000
Epoch 36: 9352 / 10000
Epoch 37: 9348 / 10000
Epoch 38: 9363 / 10000
Epoch 39: 9362 / 10000
Epoch 40: 9366 / 10000
Epoch 41: 9366 / 10000
Epoch 42: 9375 / 10000
Epoch 43: 9370 / 10000
Epoch 44: 9385 / 10000
Epoch 45: 9382 / 10000
Epoch 46: 9379 / 10000
Epoch 47: 9389 / 10000
Epoch 48: 9385 / 10000
Epoch 49: 9393 / 10000
==== Training 784x30x10 ANN DONE... ======
==== Training 784x40x10 ANN ======
Epoch 0: 5855 / 10000
Epoch 1: 6903 / 10000
Epoch 2: 7802 / 10000
Epoch 3: 8014 / 10000
Epoch 4: 8929 / 10000
Epoch 5: 9040 / 10000
Epoch 6: 9128 / 10000
Epoch 7: 9163 / 10000
Epoch 8: 9188 / 10000
Epoch 9: 9225 / 10000
Epoch 10: 9245 / 10000
Epoch 11: 9255 / 10000
Epoch 12: 9265 / 10000
Epoch 13: 9294 / 10000
Epoch 14: 9302 / 10000
Epoch 15: 9310 / 10000
Epoch 16: 9323 / 10000
Epoch 17: 9324 / 10000
Epoch 18: 9330 / 10000
Epoch 19: 9336 / 10000
Epoch 20: 9356 / 10000
Epoch 21: 9360 / 10000
Epoch 22: 9368 / 10000
Epoch 23: 9363 / 10000
Epoch 24: 9373 / 10000
Epoch 25: 9377 / 10000
Epoch 26: 9385 / 10000
Epoch 27: 9386 / 10000
Epoch 28: 9385 / 10000
Epoch 29: 9395 / 10000
Epoch 30: 9389 / 10000
Epoch 31: 9403 / 10000
Epoch 32: 9409 / 10000
Epoch 33: 9402 / 10000
Epoch 34: 9412 / 10000
Epoch 35: 9406 / 10000
Epoch 36: 9412 / 10000
Epoch 37: 9429 / 10000
Epoch 38: 9428 / 10000
Epoch 39: 9423 / 10000
Epoch 40: 9438 / 10000
Epoch 41: 9428 / 10000
Epoch 42: 9437 / 10000
Epoch 43: 9430 / 10000
Epoch 44: 9439 / 10000
Epoch 45: 9435 / 10000
Epoch 46: 9438 / 10000
Epoch 47: 9448 / 10000
Epoch 48: 9448 / 10000
Epoch 49: 9448 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 5828 / 10000
Epoch 1: 6321 / 10000
Epoch 2: 6463 / 10000
Epoch 3: 6530 / 10000
Epoch 4: 6611 / 10000
Epoch 5: 7457 / 10000
Epoch 6: 7539 / 10000
Epoch 7: 7571 / 10000
Epoch 8: 7596 / 10000
Epoch 9: 7616 / 10000
Epoch 10: 7626 / 10000
Epoch 11: 7639 / 10000
Epoch 12: 7663 / 10000
Epoch 13: 7709 / 10000
Epoch 14: 8263 / 10000
Epoch 15: 8315 / 10000
Epoch 16: 8340 / 10000
Epoch 17: 8381 / 10000
Epoch 18: 8383 / 10000
Epoch 19: 8412 / 10000
Epoch 20: 8421 / 10000
Epoch 21: 8435 / 10000
Epoch 22: 8428 / 10000
Epoch 23: 8457 / 10000
Epoch 24: 8466 / 10000
Epoch 25: 8465 / 10000
Epoch 26: 8462 / 10000
Epoch 27: 8467 / 10000
Epoch 28: 8475 / 10000
Epoch 29: 8517 / 10000
Epoch 30: 9287 / 10000
Epoch 31: 9323 / 10000
Epoch 32: 9331 / 10000
Epoch 33: 9327 / 10000
Epoch 34: 9352 / 10000
Epoch 35: 9360 / 10000
Epoch 36: 9361 / 10000
Epoch 37: 9354 / 10000
Epoch 38: 9370 / 10000
Epoch 39: 9382 / 10000
Epoch 40: 9376 / 10000
Epoch 41: 9386 / 10000
Epoch 42: 9385 / 10000
Epoch 43: 9389 / 10000
Epoch 44: 9398 / 10000
Epoch 45: 9406 / 10000
Epoch 46: 9414 / 10000
Epoch 47: 9413 / 10000
Epoch 48: 9413 / 10000
Epoch 49: 9420 / 10000
==== Training 784x50x10 ANN DONE... ======




==== Training 784x10x10x10 ANN ======
Epoch 0: 8793 / 10000
Epoch 1: 8906 / 10000
Epoch 2: 8952 / 10000
Epoch 3: 9042 / 10000
Epoch 4: 9062 / 10000
Epoch 5: 9036 / 10000
Epoch 6: 9054 / 10000
Epoch 7: 9029 / 10000
Epoch 8: 9096 / 10000
Epoch 9: 9079 / 10000
Epoch 10: 9105 / 10000
Epoch 11: 9171 / 10000
Epoch 12: 9101 / 10000
Epoch 13: 9074 / 10000
Epoch 14: 9176 / 10000
Epoch 15: 9123 / 10000
Epoch 16: 9110 / 10000
Epoch 17: 9161 / 10000
Epoch 18: 9137 / 10000
Epoch 19: 9157 / 10000
Epoch 20: 9165 / 10000
Epoch 21: 9197 / 10000
Epoch 22: 9174 / 10000
Epoch 23: 9186 / 10000
Epoch 24: 9149 / 10000
Epoch 25: 9184 / 10000
Epoch 26: 9167 / 10000
Epoch 27: 9174 / 10000
Epoch 28: 9204 / 10000
Epoch 29: 9181 / 10000
Epoch 30: 9184 / 10000
Epoch 31: 9191 / 10000
Epoch 32: 9176 / 10000
Epoch 33: 9201 / 10000
Epoch 34: 9220 / 10000
Epoch 35: 9204 / 10000
Epoch 36: 9193 / 10000
Epoch 37: 9161 / 10000
Epoch 38: 9190 / 10000
Epoch 39: 9172 / 10000
Epoch 40: 9205 / 10000
Epoch 41: 9172 / 10000
Epoch 42: 9227 / 10000
Epoch 43: 9181 / 10000
Epoch 44: 9231 / 10000
Epoch 45: 9198 / 10000
Epoch 46: 9185 / 10000
Epoch 47: 9192 / 10000
Epoch 48: 9227 / 10000
Epoch 49: 9198 / 10000
==== Training 784x10x10x10 ANN DONE... ======
==== Training 784x10x20x10 ANN ======
Epoch 0: 8777 / 10000
Epoch 1: 8932 / 10000
Epoch 2: 8934 / 10000
Epoch 3: 9091 / 10000
Epoch 4: 9097 / 10000
Epoch 5: 9107 / 10000
Epoch 6: 9157 / 10000
Epoch 7: 9113 / 10000
Epoch 8: 9160 / 10000
Epoch 9: 9149 / 10000
Epoch 10: 9134 / 10000
Epoch 11: 9167 / 10000
Epoch 12: 9136 / 10000
Epoch 13: 9055 / 10000
Epoch 14: 9166 / 10000
Epoch 15: 9213 / 10000
Epoch 16: 9231 / 10000
Epoch 17: 9225 / 10000
Epoch 18: 9198 / 10000
Epoch 19: 9219 / 10000
Epoch 20: 9186 / 10000
Epoch 21: 9219 / 10000
Epoch 22: 9175 / 10000
Epoch 23: 9189 / 10000
Epoch 24: 9177 / 10000
Epoch 25: 9232 / 10000
Epoch 26: 9250 / 10000
Epoch 27: 9258 / 10000
Epoch 28: 9256 / 10000
Epoch 29: 9212 / 10000
Epoch 30: 9230 / 10000
