==== Training 784x10x10x10 ANN ======
Epoch 2: 8495 / 10000
Epoch 3: 8736 / 10000
Epoch 4: 8871 / 10000
Epoch 5: 8957 / 10000
Epoch 6: 9028 / 10000
Epoch 7: 9069 / 10000
Epoch 8: 9091 / 10000
Epoch 9: 9123 / 10000
Epoch 10: 9144 / 10000
Epoch 11: 9179 / 10000
Epoch 12: 9176 / 10000
Epoch 13: 9192 / 10000
Epoch 14: 9215 / 10000
Epoch 15: 9231 / 10000
Epoch 16: 9226 / 10000
Epoch 17: 9226 / 10000
Epoch 18: 9243 / 10000
Epoch 19: 9255 / 10000
Epoch 20: 9258 / 10000
Epoch 21: 9255 / 10000
Epoch 22: 9277 / 10000
Epoch 23: 9276 / 10000
Epoch 24: 9287 / 10000
Epoch 25: 9291 / 10000
Epoch 26: 9283 / 10000
Epoch 27: 9270 / 10000
Epoch 28: 9303 / 10000
Epoch 29: 9295 / 10000
Epoch 30: 9309 / 10000
Epoch 31: 9308 / 10000
Epoch 32: 9296 / 10000
Epoch 33: 9308 / 10000
Epoch 34: 9318 / 10000
Epoch 35: 9300 / 10000
Epoch 36: 9326 / 10000
Epoch 37: 9314 / 10000
Epoch 38: 9319 / 10000
Epoch 39: 9322 / 10000
Epoch 40: 9328 / 10000
Epoch 41: 9335 / 10000
Epoch 42: 9327 / 10000
Epoch 43: 9341 / 10000
Epoch 44: 9340 / 10000
Epoch 45: 9336 / 10000
Epoch 46: 9329 / 10000
Epoch 47: 9346 / 10000
Epoch 48: 9342 / 10000
Epoch 49: 9351 / 10000
==== Training 784x30x10x10 ANN DONE... ======
==== Training 784x30x20x10 ANN ======
Epoch 0: 7469 / 10000
Epoch 1: 8440 / 10000
Epoch 2: 8707 / 10000
Epoch 3: 8862 / 10000
Epoch 4: 8940 / 10000
Epoch 5: 9015 / 10000
Epoch 6: 9060 / 10000
Epoch 7: 9097 / 10000
Epoch 8: 9125 / 10000
Epoch 9: 9157 / 10000
Epoch 10: 9174 / 10000
Epoch 11: 9180 / 10000
Epoch 12: 9187 / 10000
Epoch 13: 9217 / 10000
Epoch 14: 9228 / 10000
Epoch 15: 9243 / 10000
Epoch 16: 9244 / 10000
Epoch 17: 9252 / 10000
Epoch 18: 9263 / 10000
Epoch 19: 9277 / 10000
Epoch 20: 9283 / 10000
Epoch 21: 9291 / 10000
Epoch 22: 9292 / 10000
Epoch 23: 9303 / 10000
Epoch 24: 9298 / 10000
Epoch 25: 9322 / 10000
Epoch 26: 9322 / 10000
Epoch 27: 9318 / 10000
Epoch 28: 9319 / 10000
Epoch 29: 9333 / 10000
Epoch 30: 9325 / 10000
Epoch 31: 9330 / 10000
Epoch 32: 9344 / 10000
Epoch 33: 9344 / 10000
Epoch 34: 9349 / 10000
Epoch 35: 9343 / 10000
Epoch 36: 9363 / 10000
Epoch 37: 9359 / 10000
Epoch 38: 9367 / 10000
Epoch 39: 9368 / 10000
Epoch 40: 9368 / 10000
Epoch 41: 9367 / 10000
Epoch 42: 9363 / 10000
Epoch 43: 9374 / 10000
Epoch 44: 9366 / 10000
Epoch 45: 9384 / 10000
Epoch 46: 9383 / 10000
Epoch 47: 9375 / 10000
Epoch 48: 9382 / 10000
Epoch 49: 9390 / 10000
==== Training 784x30x20x10 ANN DONE... ======
==== Training 784x30x30x10 ANN ======
Epoch 0: 7681 / 10000
Epoch 1: 8403 / 10000
Epoch 2: 8680 / 10000
Epoch 3: 8837 / 10000
Epoch 4: 8920 / 10000
Epoch 5: 8977 / 10000
Epoch 6: 9050 / 10000
Epoch 7: 9062 / 10000
Epoch 8: 9132 / 10000
Epoch 9: 9164 / 10000
Epoch 10: 9171 / 10000
Epoch 11: 9204 / 10000
Epoch 12: 9217 / 10000
Epoch 13: 9228 / 10000
Epoch 14: 9242 / 10000
Epoch 15: 9273 / 10000
Epoch 16: 9264 / 10000
Epoch 17: 9284 / 10000
Epoch 18: 9284 / 10000
Epoch 19: 9304 / 10000
Epoch 20: 9300 / 10000
Epoch 21: 9314 / 10000
Epoch 22: 9313 / 10000
Epoch 23: 9323 / 10000
Epoch 24: 9316 / 10000
Epoch 25: 9323 / 10000
Epoch 26: 9343 / 10000
Epoch 27: 9338 / 10000
Epoch 28: 9352 / 10000
Epoch 29: 9347 / 10000
Epoch 30: 9362 / 10000
Epoch 31: 9359 / 10000
Epoch 32: 9374 / 10000
Epoch 33: 9367 / 10000
Epoch 34: 9375 / 10000
Epoch 35: 9376 / 10000
Epoch 36: 9365 / 10000
Epoch 37: 9376 / 10000
Epoch 38: 9375 / 10000
Epoch 39: 9380 / 10000
Epoch 40: 9385 / 10000
Epoch 41: 9382 / 10000
Epoch 42: 9374 / 10000
Epoch 43: 9387 / 10000
Epoch 44: 9396 / 10000
Epoch 45: 9386 / 10000
Epoch 46: 9391 / 10000
Epoch 47: 9395 / 10000
Epoch 48: 9387 / 10000
Epoch 49: 9397 / 10000
==== Training 784x30x30x10 ANN DONE... ======
==== Training 784x30x40x10 ANN ======
Epoch 0: 7496 / 10000
Epoch 1: 8344 / 10000
Epoch 2: 8591 / 10000
Epoch 3: 8764 / 10000
Epoch 4: 8867 / 10000
Epoch 5: 8963 / 10000
Epoch 6: 9016 / 10000
Epoch 7: 9046 / 10000
Epoch 8: 9092 / 10000
Epoch 9: 9125 / 10000
Epoch 10: 9157 / 10000
Epoch 11: 9152 / 10000
Epoch 12: 9175 / 10000
Epoch 13: 9205 / 10000
Epoch 14: 9209 / 10000
Epoch 15: 9229 / 10000
Epoch 16: 9232 / 10000
Epoch 17: 9241 / 10000
Epoch 18: 9242 / 10000
Epoch 19: 9270 / 10000
Epoch 20: 9273 / 10000
Epoch 21: 9292 / 10000
Epoch 22: 9280 / 10000
Epoch 23: 9309 / 10000
Epoch 24: 9295 / 10000
Epoch 25: 9303 / 10000
Epoch 26: 9317 / 10000
Epoch 27: 9311 / 10000
Epoch 28: 9323 / 10000
Epoch 29: 9330 / 10000
